Plant ID,index,plot,plant,kind,center.x(m),center.y(m),min_rect_width(m),min_rect_length(m),hover_area(m2),PLA(cm2),centroid.x(m),centroid.y(m),long_axis(m),short_axis(m),orient_deg2xaxis,percentile_height(m)
1,0,S01 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,3.759217713,-1.677080369,0.353765566,0.309285388,0.082497085,236.5555556,3.758759182,-1.672668641,0.326568738,0.273844366,82.16747994,0.09765356
2,1,S01 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,4.043416484,-1.851639308,0.265667987,0.291399552,0.054794175,193.4444444,4.039123234,-1.863780451,0.27241584,0.254611006,-49.01227431,0.057022573
3,2,S01 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,4.257799238,-1.585673935,0.257177919,0.47338778,0.087022591,214.4444444,4.254449918,-1.585210279,0.402670793,0.214071182,-17.2103384,0.127202426
4,3,S01 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,4.447050785,-1.853011984,0.454884915,0.228173959,0.068908773,183.1111111,4.44612718,-1.851262377,0.445079049,0.215855777,18.4694548,0.089333178
5,4,S01 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,4.751847044,-1.530516245,0.434432261,0.356344345,0.100764094,294.4444444,4.737516232,-1.527073437,0.440782104,0.245852583,-17.43269803,0.158053446
6,5,S01 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,4.876244138,-1.830239403,0.271797283,0.301144336,0.065102459,218.6666667,4.881663983,-1.830359289,0.306598681,0.22079055,-4.248534669,0.16697449
7,0,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-0.021044188,-1.292511111,0.298723407,0.320611634,0.067004994,191.8888889,-0.022374931,-1.294478089,0.361290019,0.239425551,36.83891812,0.128059024
8,1,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.198861317,-0.994592295,0.472225328,0.256999977,0.086852385,235.6666667,0.202068755,-0.994834781,0.442697067,0.219212527,24.41212759,0.101826127
9,2,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.426971254,-1.31379187,0.319479638,0.298053511,0.071753714,201.7777778,0.427029765,-1.318584407,0.34844663,0.262161561,70.40107876,0.080740187
10,3,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,0.718051405,-1.07669803,0.252828039,0.190591138,0.036876423,137.6666667,0.718778844,-1.079680421,0.240563199,0.16147948,-13.85716216,0.177160208
11,4,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,0.907327564,-1.343215686,0.289107923,0.290948543,0.06564397,152.5555556,0.900458897,-1.34966791,0.330454449,0.271502957,-58.57042342,0.189864329
12,5,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.129920118,-1.002091919,0.311490372,0.408204875,0.095139059,282.5555556,1.12175455,-1.004285625,0.359118969,0.303030449,-8.190996948,0.143617071
13,6,S02 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,6,0,1.346476833,-1.335270943,0.317707017,0.201374636,0.048485297,174.1111111,1.359873049,-1.328286225,0.312219066,0.162150701,41.06335168,0.159615009
14,0,S03 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-0.783984354,-1.543188277,0.300980073,0.276291977,0.061108476,190.5555556,-0.782925167,-1.547063558,0.320165359,0.222622097,87.55176971,0.181320508
15,1,S03 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-0.530094286,-1.408414448,0.295727544,0.421864995,0.089963739,252.5555556,-0.532733854,-1.40567218,0.423790372,0.249562981,85.16580772,0.082969315
16,2,S03 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-0.289931926,-1.58275824,0.288800728,0.305427415,0.067923883,183.1111111,-0.284637478,-1.579132482,0.300203817,0.250752313,-85.26432607,0.155495079
17,3,S03 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-0.014790214,-1.352925325,0.31937743,0.389653033,0.098532996,231.7777778,-0.011712151,-1.353115582,0.367561706,0.294223182,-37.28065385,0.069244762
18,4,S03 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,0.180565314,-1.657761268,0.267723489,0.172541501,0.031777458,137.7777778,0.18103543,-1.661495301,0.238159242,0.133086266,65.01420297,0.195178574
19,5,S03 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,0.581297797,-1.545618567,0.286308581,0.492609605,0.116204715,281.5555556,0.586533183,-1.556962782,0.466015102,0.270260327,-39.90857882,0.145427671
20,0,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,-6.648340883,-2.568273575,0.233340137,0.28333077,0.048904736,170.5555556,-6.655306643,-2.566559715,0.276048242,0.19267642,-59.45667164,0.175925158
21,1,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,-6.404637556,-2.308235216,0.473036428,0.323836158,0.111217853,268.7777778,-6.400101873,-2.312634252,0.438778305,0.30531444,-15.64723077,0.139604705
22,2,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,-6.08341728,-2.592872266,0.339183366,0.334544857,0.079522744,231.4444444,-6.088690492,-2.607408018,0.358201994,0.26425377,38.45184007,0.137158192
23,3,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,-5.702213874,-2.44021998,0.466283903,0.488790291,0.179039293,361.6666667,-5.699302536,-2.443938209,0.489365604,0.391786097,-76.75055354,0.110526163
24,4,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,-5.323222126,-2.289343811,0.224327247,0.214033008,0.038617587,159.3333333,-5.320317926,-2.288948377,0.218765769,0.201426065,-25.82818485,0.190671546
25,5,S04 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,-5.21811135,-2.683287681,0.188843365,0.20655883,0.027676105,117.5555556,-5.221286292,-2.692624464,0.212276286,0.145499669,-80.54629594,0.172139071
26,0,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,0.003929138,-1.056650147,0.349558437,0.352255673,0.091740376,263.2222222,0.00401358,-1.058915663,0.359836795,0.279940492,9.990713844,0.122578753
27,1,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,0.307058842,-0.742503093,0.332437582,0.420172169,0.107792226,329,0.301807102,-0.745552431,0.430920481,0.268837653,12.5407656,0.147721766
28,2,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,0.452704782,-1.095590966,0.214932822,0.28728326,0.048399255,158,0.443127147,-1.102823022,0.268236815,0.175752338,2.152895357,0.168963583
29,3,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,3,0,0.813540104,-0.921952387,0.389469131,0.283547503,0.088231381,225.8888889,0.81577892,-0.925482477,0.370095537,0.266363122,57.30728414,0.075875687
30,4,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,4,0,0.970574868,-1.24481145,0.441436219,0.279047927,0.087738637,248.4444444,0.969763218,-1.24089358,0.386677257,0.246576273,55.11634078,0.111176573
31,5,S05 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,5,0,1.300574396,-1.007449449,0.230431288,0.404167643,0.072609437,206.6666667,1.295788638,-1.002310491,0.431876262,0.190113987,-70.08257704,0.180563151
32,0,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,0,0,3.37080903,-1.882061441,0.360653816,0.342893566,0.094759936,291.7777778,3.36613545,-1.884568342,0.340972143,0.291641924,72.88350659,0.167645686
33,1,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,1,0,3.738032549,-2.110068363,0.311091355,0.382311374,0.086134174,238.2222222,3.736452682,-2.118212932,0.364290786,0.306865418,-36.88475791,0.106196845
34,2,S06 - 00000 - ALLSTEPS-v27-med - MetashapeDenseCloud,2,0,4.027277857,-1.852443641,0.28161738,0.23453091,0.049388547,167.4444444,4.02692606,-1.849611597,0.274108146,0.181042015,65.15158075,0.187079641
